source,model,B,K,theta_a,theta_b,true_delta,m1_pt,m3_pt,m3_lo,m3_hi,m4_pt,m4_lo,m4_hi,m5_pt,m5_lo,m5_hi,m6_pt,m6_lo,m6_hi,m7_pt,m7_lo,m7_hi,system_b,m3_cov_a,m4_cov_a,m5_cov_a,m6_cov_a,m7_cov_a,m1_dir_wrong
DSPy RS,Phi-3.5,3000000,6,0.2793823613136996,0.26298960831334933,0.016392753000350258,0.3053557154276579,0.3053557154276579,0.27983389336263426,0.3308775374926815,0.3019169329073482,0.26592432212530387,0.3379095436893926,0.29281150159744407,0.28810354967353213,0.297519453521356,0.27509236817512706,0.25330708512260264,0.29641917928034917,0.27509236817512706,0.25430095088539606,0.29575392855213206,0.26298960831334933,False,True,False,True,True,False
DSPy RS,Phi-3.5,6500000,6,0.27423445850206385,0.26298960831334933,0.011244850188714517,0.29256594724220625,0.29256594724220625,0.2673553993087753,0.3177764951756372,0.28753993610223644,0.25205488692941524,0.32302498527505763,0.28338658146964857,0.27942120961149963,0.2873519533277975,0.27032350190781784,0.24870695620347397,0.291286473752871,0.27032350190781784,0.2492498806216506,0.29054343176556113,0.26298960831334933,True,True,False,True,True,False
DSPy RS,Mistral-v0.1,500000,6,0.14012768593461322,0.13029576338928858,0.00983192254532464,0.14628297362110312,0.14628297362110312,0.12669988099779272,0.16586606624441352,0.12140575079872204,0.09580045069104709,0.147011050906397,0.13817891373801916,0.13197591677283202,0.1443819107032063,0.13920273222669258,0.12352161514064935,0.15535872281916824,0.13920273222669258,0.12388118409049281,0.15402187914330207,0.13029576338928858,True,True,True,True,True,False
DSPy RS,Mistral-v0.1,1500000,6,0.14241675491456712,0.13029576338928858,0.01212099152527854,0.14948041566746603,0.14948041566746603,0.12972156294752735,0.16923926838740472,0.13258785942492013,0.10600016428271729,0.15917555456712296,0.1369009584664537,0.13114385117055422,0.14265806576235318,0.14281544113065267,0.12652519358098013,0.15934021648881444,0.14281544113065267,0.12652497164371895,0.15899168788676002,0.13029576338928858,True,True,True,True,True,False
DSPy RS,Mistral-v0.1,3000000,6,0.14215676875471758,0.13029576338928858,0.011861005365429,0.14948041566746603,0.14948041566746603,0.12972156294752735,0.16923926838740472,0.13258785942492013,0.10600016428271729,0.15917555456712296,0.13929712460063898,0.13465733907174804,0.14393691012952992,0.14318937749103616,0.12656037786442048,0.16006689903784005,0.14318937749103616,0.12681806556079087,0.1593767740376411,0.13029576338928858,True,True,True,True,True,False
DSPy RS,Mistral-v0.1,6500000,6,0.14267882528436984,0.13029576338928858,0.01238306189508126,0.14948041566746603,0.14948041566746603,0.12972156294752735,0.16923926838740472,0.13258785942492013,0.10600016428271729,0.15917555456712296,0.13913738019169328,0.13467750442096918,0.14359725596241737,0.14286819395820735,0.12627425033474934,0.15957710463236208,0.14286819395820735,0.12671689969174374,0.15894631702093215,0.13029576338928858,True,True,True,True,True,False
DSPy RS,Mistral-v0.3,500000,6,0.16517318040668003,0.16946442845723422,-0.004291248050554197,0.16786570743405277,0.16786570743405277,0.14715451428036952,0.18857690058773602,0.15175718849840256,0.12362841521601038,0.17988596178079472,0.1595846645367412,0.15295095363684805,0.16621837543663434,0.16420413845113388,0.1464816307170996,0.1818140357195909,0.16420413845113388,0.14715545224228183,0.18126194511478994,0.16946442845723422,True,True,True,True,True,False
DSPy RS,Mistral-v0.3,1500000,6,0.16613547759058442,0.16946442845723422,-0.0033289508666498047,0.17426059152677859,0.17426059152677859,0.15323982665749755,0.19528135639605962,0.16773162939297126,0.13843921019178224,0.19702404859416028,0.1634185303514377,0.1574114333228576,0.1694256273800178,0.1646944645198015,0.14671114031900334,0.18173372495044995,0.1646944645198015,0.14771426131796167,0.18172924585331804,0.16946442845723422,True,True,True,True,True,True
DSPy RS,Mistral-v0.3,3000000,6,0.16402162204540668,0.16946442845723422,-0.005442806411827539,0.17585931254996004,0.17585931254996004,0.15476279458073086,0.19695583051918922,0.16932907348242812,0.13992575595345666,0.19873239101139958,0.168370607028754,0.16162334084492783,0.17511787321258018,0.16306800839552898,0.14516938975275454,0.17971815501790417,0.16306800839552898,0.1458742697521468,0.1802803903367936,0.16946442845723422,True,True,True,True,True,True
DSPy RS,Mistral-v0.3,6500000,6,0.1689488992924766,0.16946442845723422,-0.000515529164757611,0.17585931254996004,0.17585931254996004,0.15476279458073086,0.19695583051918922,0.16932907348242812,0.13992575595345666,0.19873239101139958,0.16709265175718852,0.15984118061943525,0.17434412289494178,0.16848363028970298,0.1504724376265205,0.18603609444698382,0.16848363028970298,0.15038213100156808,0.18614829913725423,0.16946442845723422,True,True,True,True,True,True
